season,episode,character,line
1,1,Michael,Eleanor?
1,1,Michael,Come on in.
1,1,Michael,"Hi, Eleanor."
1,1,Michael,I'm Michael.
1,1,Michael,How are you today?
1,1,Eleanor Shellstrop,I'm great.
1,1,Eleanor Shellstrop,Thanks for asking.
1,1,Eleanor Shellstrop,"Oh, one question."
1,1,Eleanor Shellstrop,Where am I?
1,1,Eleanor Shellstrop,"Who are you, and what's going on?"
1,1,Michael,"Right, so, you, Eleanor Shellstrop, are dead."
1,1,Michael,"Your life on Earth has ended, and you are now in the next phase of your existence in the universe."
1,1,Eleanor Shellstrop,Cool.
1,1,Eleanor Shellstrop,Cool.
1,1,Eleanor Shellstrop,I have some questions.
1,1,Michael,Thought you might.
1,1,Eleanor Shellstrop,How did I die?
1,1,Eleanor Shellstrop,I don't remember.
1,1,Michael,"Yes, um, in cases of traumatic or embarrassing deaths, we erase the memory to allow for a peaceful transition."
1,1,Michael,Are you sure you want to hear?
1,1,Michael,"All right, so you were in a grocery store parking lot."
1,1,Michael,"You dropped a bottle of something called, ""Lonely Gal Margarita Mix for One""."
1,1,Michael,"And when you bent down to pick it up, a long column of shopping carts that were being returned to the shopping cart collection area rolled out of control and plowed right into you."
1,1,Eleanor Shellstrop,Oof.
1,1,Eleanor Shellstrop,That's how I died?
1,1,Michael,"No, sorry, there's more."
1,1,Michael,"You were able to grab on to the front of the column of shopping carts, but it'd swept you right out into the street where you were struck and killed by a mobile billboard truck advertising an erectile dysfunction pill called ""Engorge-ulate""."
1,1,Michael,"Funnily enough, the first EMT to arrive was an ex-boyfriend of yours --"
1,1,Eleanor Shellstrop,"Okay, that's I get it, thank you."
1,1,Michael,"Oh, okay, sorry."
1,1,Eleanor Shellstrop,"Um, so who was right?"
1,1,Eleanor Shellstrop,I mean about all of this?
1,1,Michael,"Well, let's see."
1,1,Michael,"Hindus are a little bit right, Muslims a little bit."
1,1,Michael,"Jews, Christians, Buddhists, every religion guessed about 5%, except for Doug Forcett."
1,1,Eleanor Shellstrop,Who's Doug Forcett?
1,1,Michael,"Well, Doug was a stoner kid who lived in Calgary during the 1970s."
1,1,Michael,"One night, he got really high on mushrooms, and his best friend, Randy, said, ""Hey, what do you think happens after we die?"""
1,1,Michael,And Doug just launched into this long monologue where he got like 92% correct.
1,1,Michael,"I mean, we couldn't believe what we were hearing."
1,1,Michael,"That's him, actually, right up there."
1,1,Michael,He's pretty famous around here.
1,1,Michael,I'm very lucky to have that.
1,1,Eleanor Shellstrop,So maybe my biggest question.
1,1,Eleanor Shellstrop,Am I
1,1,Eleanor Shellstrop,"I mean, is this"
1,1,Eleanor Shellstrop,Or
1,1,Michael,"Well, it's not the heaven-or-hell idea that you were raised on."
1,1,Michael,"But generally speaking, in the afterlife, there's a Good Place and there's a Bad Place."
1,1,Michael,You're in The Good Place.
1,1,Michael,"You're okay, Eleanor."
1,1,Michael,You're in The Good Place.
1,1,Eleanor Shellstrop,"Well, that's good."
1,1,Michael,Sure is.
1,1,Michael,"Okay, let's take a walk, shall we?"
1,1,Eleanor Shellstrop,"Oh, did I have a purse?"
1,1,Eleanor Shellstrop,"No, I'm dead, right."
1,1,Eleanor Shellstrop,Okay.
1,1,Michael,"So, this is how it works."
1,1,Michael,The Good Place is divided into distinct neighborhoods.
1,1,Michael,Each one contains exactly 322 people who have been perfectly selected to blend together into a blissful harmonic balance.
1,1,Eleanor Shellstrop,Do all the neighborhoods look like this?
1,1,Michael,"No, every neighborhood is unique."
1,1,Michael,"Some have warm weather, some cold."
1,1,Michael,"Some are cities, some farmland."
1,1,Michael,"But in each one, every blade of grass, every ladybug, every detail has been precisely designed and calibrated for its residents."
1,1,Eleanor Shellstrop,There's a lot of frozen yogurt places.
1,1,Michael,Yeah.
1,1,Michael,That's the one thing we put in all the neighborhoods.
1,1,Michael,People love frozen yogurt.
1,1,Michael,I don't know what to tell you.
1,1,Michael,"You're gonna have a million more questions, I know."
1,1,Michael,"For right now, better grab a seat."
1,1,Michael,Movie's about to begin.
1,1,Michael,Ah.
1,1,Michael,"Hello, everyone."
1,1,Michael,And welcome to your first day in the afterlife.
1,1,Michael,"You were all, simply put, good people."
1,1,Michael,But how do we know that you were good?
1,1,Michael,How are we sure?
1,1,Michael,"During your time on Earth, every one of your actions had a positive or a negative value, depending on how much good or bad that action put into the universe."
1,1,Michael,"Every sandwich you ate, every time you bought a magazine, every single thing you did had an effect that rippled out over time and ultimately created some amount of good or bad."
1,1,Michael,You know how some people pull into the breakdown lane when there's traffic?
1,1,Michael,"And they think to themselves, ""Ah, who cares? No one's watching."""
1,1,Michael,We were watching.
1,1,Michael,Surprise!
1,1,Michael,"Anyway, when your time on Earth has ended, we calculate the total value of your life using our perfectly accurate measuring system."
1,1,Michael,"Only the people with the very highest scores, the true cream of the crop, get to come here, to The Good Place."
1,1,Michael,"What happens to everyone else, you ask?"
1,1,Michael,Don't worry about it.
1,1,Michael,"The point is, you are here because you lived one of the very best lives that could be lived."
1,1,Michael,And you won't be alone.
1,1,Michael,Your true soulmate is here too.
1,1,Michael,That's right.
1,1,Michael,Soulmates are real.
1,1,Michael,"One of the other people in your neighborhood is your actual soulmate, and you will spend eternity together."
1,1,Michael,So welcome to eternal happiness.
1,1,Michael,Welcome to The Good Place.
1,1,Michael,Sponsored by  otters holding hands while they sleep.
1,1,Michael,You know the way you feel when you see a picture of two otters holding hands?
1,1,Michael,That's how you're gonna feel every day.
1,1,Eleanor Shellstrop,So who is in The Bad Place that would shock me?
1,1,Michael,"Uh well, Mozart, Picasso, Elvis, basically every artist ever, uh, every US president except Lincoln."
1,1,Eleanor Shellstrop,That sounds about right.
1,1,Eleanor Shellstrop,What about Florence Nightingale?
1,1,Michael,"It was close, but, no, she didn't make it."
1,1,Eleanor Shellstrop,"Wow, all those amazing people down there, it just seems so hard to believe."
1,1,Michael,"Again, it's an incredibly selective system."
1,1,Michael,Most people don't make it here.
1,1,Michael,"But you, a lawyer who got innocent people off death row, you're special, Eleanor."
1,1,Michael,"And by the way, welcome to your new home."
1,1,Michael,"Oh, it's perfect, isn't it?"
1,1,Michael,"You see, in The Good Place, every person gets to live in a home that perfectly matches his or her true essence."
1,1,Eleanor Shellstrop,Cool.
1,1,Eleanor Shellstrop,"So I guess that's why my house, for example, is this adorable little cottage, whereas other people might have homes that are bigger, like that one."
1,1,Michael,Exactly.
1,1,Michael,"Oh, I'm so happy you get it."
1,1,Michael,"As you can see, the interior has been decorated just as you like it, in the Icelandic primitive style."
1,1,Michael,"Oh, oh, and, uh, of course, you love clowns, so"
1,1,Eleanor Shellstrop,I do love clowns.
1,1,Michael,"Now, let me show you the, uh, the video system here."
1,1,Michael,You can review everything that happened in your life from your point of view.
1,1,Michael,There we go.
1,1,Michael,This is your human rights mission to Ukraine.
1,1,Michael,"I mean, you got a ton of points for that one."
1,1,Michael,It really put you over the top.
1,1,Michael,Oh.
1,1,Michael,"Chidi, come on in."
1,1,Chidi Anagonye,Eleanor?
1,1,Chidi Anagonye,"I'm Chidi Anagonye, and you are my soulmate."
1,1,Eleanor Shellstrop,Cool!
1,1,Eleanor Shellstrop,"Bring it in, man."
1,1,Michael,"Now, excuse me."
1,1,Michael,I have other people to attend to.
1,1,Eleanor Shellstrop,"So where you from, Chidi?"
1,1,Chidi Anagonye,"Well, I was born in Nigeria, raised in Senegal, but my work took me all over the place."
1,1,Chidi Anagonye,"Australia, Hong Kong, Paris."
1,1,Chidi Anagonye,What about you?
1,1,Eleanor Shellstrop,"Uh, well, I I was born in Phoenix."
1,1,Chidi Anagonye,Mmm-hmm.
1,1,Eleanor Shellstrop,Arizona.
1,1,Eleanor Shellstrop,"And then I went to school in Tempe, Arizona."
1,1,Eleanor Shellstrop,"And then I moved back to Phoenix, Arizona."
1,1,Eleanor Shellstrop,Your English is amazing.
1,1,Chidi Anagonye,Oh!
1,1,Chidi Anagonye,I'm actually speaking French.
1,1,Chidi Anagonye,This place just translates whatever you say into a language the other person can understand.
1,1,Chidi Anagonye,So it's incredible.
1,1,Eleanor Shellstrop,Whoa.
1,1,Chidi Anagonye,And now I want to say this.
1,1,Eleanor Shellstrop,Mmm-kay.
1,1,Chidi Anagonye,Eleanor.
1,1,Chidi Anagonye,I have spent my entire life in pursuit of fundamental truths about the universe.
1,1,Chidi Anagonye,And now we can actually learn about them together as soulmates.
1,1,Chidi Anagonye,It's overwhelming.
1,1,Eleanor Shellstrop,Chidi.
1,1,Eleanor Shellstrop,"You'll stand by my side no matter what, right?"
1,1,Chidi Anagonye,Of course I will.
1,1,Eleanor Shellstrop,Promise me.
1,1,Eleanor Shellstrop,"Say, ""I promise I will never betray you for any reason."""
1,1,Chidi Anagonye,"Eleanor, I swear that I will never say or do anything to cause you any harm."
1,1,Eleanor Shellstrop,Good.
1,1,Eleanor Shellstrop,Because those aren't my memories.
1,1,Eleanor Shellstrop,I wasn't a lawyer.
1,1,Eleanor Shellstrop,I never went to the Ukraine.
1,1,Eleanor Shellstrop,I hate clowns.
1,1,Eleanor Shellstrop,There's been a big mistake.
1,1,Eleanor Shellstrop,I'm not supposed to be here.
1,1,Chidi Anagonye,"Wait, what?"
1,1,Chidi Anagonye,Are you sure this isn't you?
1,1,Eleanor Shellstrop,"Yeah, man, I'm pretty sure I wasn't a death-row lawyer who collected clown paintings and rescued orphans."
1,1,Eleanor Shellstrop,"They got my name right, but nothing else."
1,1,Eleanor Shellstrop,"I mean, somebody royally forked up."
1,1,Eleanor Shellstrop,Somebody forked up.
1,1,Eleanor Shellstrop,"Why can't I say ""fork""?"
1,1,Chidi Anagonye,"If you're trying to curse, you can't here."
1,1,Chidi Anagonye,"I guess a lot of people in this neighborhood don't like it, so it's prohibited."
1,1,Eleanor Shellstrop,That's bull-shirt.
1,1,Chidi Anagonye,"So, if you're not this person, then who are you?"
1,1,Chidi Anagonye,What did you do for a living?
1,1,Eleanor Shellstrop,I was in sales.
1,1,Wallace,"So we sell two products here, NasaPRO and NasaPRO Silver."
1,1,Wallace,We aim this at seniors.
1,1,Wallace,"Now, you can't legally call it ""medicine"" because it doesn't technically work and it is technically chalk, so what you're gonna want to do --"
1,1,Eleanor Shellstrop,You need me to lie to old people and scare them into buying fake medicine.
1,1,Eleanor Shellstrop,"I get it, man."
1,1,Eleanor Shellstrop,Which one's my desk?
1,1,Chidi Anagonye,So your job was to defraud the elderly
1,1,Chidi Anagonye,"Sorry, the sick and elderly?"
1,1,Eleanor Shellstrop,But I was very good at it.
1,1,Eleanor Shellstrop,I was the top salesperson five years running.
1,1,Chidi Anagonye,"Okay, but that's worse."
1,1,Chidi Anagonye,"I mean, you, you do get how that's worse, right?"
1,1,Chidi Anagonye,"You know, maybe it's a test."
1,1,Chidi Anagonye,"Maybe if you go to Michael and you tell him the truth, you'll pass the test and you'll get to stay."
1,1,Eleanor Shellstrop,No way.
1,1,Eleanor Shellstrop,I can't risk going to The Bad Place.
1,1,Chidi Anagonye,"Okay, well, maybe it's not actually, like, all that bad."
1,1,Chidi Anagonye,Let's just get some information first.
1,1,Chidi Anagonye,We'll ask Janet.
1,1,Chidi Anagonye,"Hey, Janet?"
1,1,Janet,Hi there.
1,1,Janet,How can I help you?
1,1,Eleanor Shellstrop,What the fork?
1,1,Eleanor Shellstrop,Who are you?
1,1,Janet,I'm Janet.
1,1,Janet,I'm the informational assistant here in The Good Place.
1,1,Chidi Anagonye,She's like this walking database.
1,1,Chidi Anagonye,"You can ask her about the creation of the universe, or history --"
1,1,Eleanor Shellstrop,"Oh, there was a guy who lived in Avondale, Arizona, around 2002."
1,1,Eleanor Shellstrop,His name was Kevin Paltonic.
1,1,Eleanor Shellstrop,Is he gay?
1,1,Janet,No.
1,1,Eleanor Shellstrop,Really?
1,1,Eleanor Shellstrop,Huh.
1,1,Eleanor Shellstrop,I guess he just didn't want to have sex with me.
1,1,Janet,That's correct.
1,1,Eleanor Shellstrop,"Well, that's fine, I wasn't that into him anyway."
1,1,Janet,"Yes, you were."
